timestamp,phase,script_name,action,mode,status,subject,smtp_username,recipient_email,sent,message_count,input_paths,output_paths,error_type,error_message_redacted,broker_used,scheduler_used,archived_legacy_used,safety_notes
2026-07-09T16:19:44-05:00,phase5r_c6,create_phase5r_c6_weekly_email_brief.py,compose_weekly_conviction_email,compose,complete,Weekly AI Equity Conviction Brief — 2026-07-09 — No Action / 2 Trim Reviews / 0 New Eligible,,,no,0,04_research/realtime_stock_picker_phase5r/phase5r_c5_weekly_conviction_memo.md;04_research/realtime_stock_picker_phase5r/phase5r_c5_weekly_conviction_scores.csv;04_research/realtime_stock_picker_phase5r/phase5r_c5_position_review_recommendations.csv;04_research/realtime_stock_picker_phase5r/phase5r_c5_new_candidate_recommendations.csv;05_risk_and_positions/phase5r_c5t_manual_action_plan.md;05_risk_and_positions/phase5r_c5t_trim_scenario_table.csv;05_risk_and_positions/phase5r_c5t_next_review_triggers.csv;05_risk_and_positions/current_positions.local.csv,07_automation/email_briefs/phase5r_c6_weekly_email_subject.txt;07_automation/email_briefs/phase5r_c6_weekly_email_body.txt;07_automation/email_briefs/phase5r_c6_weekly_email_body.html;07_automation/email_briefs/phase5r_c6_email_metadata.csv;08_reviews/current/latest_phase5r_c6_weekly_email_preview.md;04_research/realtime_stock_picker_phase5r/phase5r_c6_weekly_email_report.md,,,no,no,no,weekly_compose_only=yes; primary_scenario=no_action_until_next_review; credentials_read=no
2026-07-09T16:19:44-05:00,phase5r_c6,send_phase5r_c6_weekly_email.py,weekly_email_delivery,check_config,complete,,steven.equity0326@gmail.com,stevenchenjy326@gmail.com,no,0,local_smtp_config_shape_only,07_automation/email_delivery/phase5r_c6_delivery_status.csv,,,no,no,no,weekly_manual_command=yes; at_most_one_message=yes; attachments=none; password_logged=no
2026-07-09T16:19:44-05:00,phase5r_c6,send_phase5r_c6_weekly_email.py,weekly_email_delivery,dry_run,complete,Weekly AI Equity Conviction Brief — 2026-07-09 — No Action / 2 Trim Reviews / 0 New Eligible,steven.equity0326@gmail.com,stevenchenjy326@gmail.com,no,0,07_automation/email_briefs/phase5r_c6_weekly_email_subject.txt;07_automation/email_briefs/phase5r_c6_weekly_email_body.txt;07_automation/email_briefs/phase5r_c6_weekly_email_body.html;07_automation/email_briefs/phase5r_c6_email_metadata.csv,07_automation/email_delivery/phase5r_c6_delivery_status.csv;07_automation/email_delivery/phase5r_c6_last_email_preview.eml,,,no,no,no,weekly_manual_command=yes; at_most_one_message=yes; attachments=none; password_logged=no
2026-07-09T16:19:51-05:00,phase5r_c6,verify_phase5r_c6_weekly_email_boundary.py,verify_weekly_email_boundary,verify,complete,,,,no,0,phase5r_c6_generated_outputs,00_project_control/phase5r_c6_verification_report.md;04_research/realtime_stock_picker_phase5r/phase5r_c6_verification_report.md,,,no,no,no,verification_only=yes; config_content_read=no; live_send=no
2026-07-09T16:20:34-05:00,phase5r_c6,verify_phase5r_c6_weekly_email_boundary.py,verify_weekly_email_boundary,verify,complete,,,,no,0,phase5r_c6_generated_outputs,00_project_control/phase5r_c6_verification_report.md;04_research/realtime_stock_picker_phase5r/phase5r_c6_verification_report.md,,,no,no,no,verification_only=yes; config_content_read=no; live_send=no
2026-07-09T16:25:12-05:00,phase5r_c6,send_phase5r_c6_weekly_email.py,weekly_email_delivery,send,complete,Weekly AI Equity Conviction Brief — 2026-07-09 — No Action / 2 Trim Reviews / 0 New Eligible,steven.equity0326@gmail.com,stevenchenjy326@gmail.com,yes,1,07_automation/email_briefs/phase5r_c6_weekly_email_subject.txt;07_automation/email_briefs/phase5r_c6_weekly_email_body.txt;07_automation/email_briefs/phase5r_c6_weekly_email_body.html;07_automation/email_briefs/phase5r_c6_email_metadata.csv,07_automation/email_delivery/phase5r_c6_delivery_status.csv;07_automation/email_delivery/phase5r_c6_last_email_preview.eml,,,no,no,no,weekly_manual_command=yes; at_most_one_message=yes; attachments=none; password_logged=no
2026-07-09T16:32:36-05:00,phase5r_c6,create_phase5r_c6_weekly_email_brief.py,compose_weekly_conviction_email,compose,complete,Weekly AI Equity Conviction Brief — 2026-07-09 — No Action / 2 Trim Reviews / 0 New Eligible,,,no,0,04_research/realtime_stock_picker_phase5r/phase5r_c5_weekly_conviction_memo.md;04_research/realtime_stock_picker_phase5r/phase5r_c5_weekly_conviction_scores.csv;04_research/realtime_stock_picker_phase5r/phase5r_c5_position_review_recommendations.csv;04_research/realtime_stock_picker_phase5r/phase5r_c5_new_candidate_recommendations.csv;05_risk_and_positions/phase5r_c5t_manual_action_plan.md;05_risk_and_positions/phase5r_c5t_trim_scenario_table.csv;05_risk_and_positions/phase5r_c5t_next_review_triggers.csv;05_risk_and_positions/current_positions.local.csv,07_automation/email_briefs/phase5r_c6_weekly_email_subject.txt;07_automation/email_briefs/phase5r_c6_weekly_email_body.txt;07_automation/email_briefs/phase5r_c6_weekly_email_body.html;07_automation/email_briefs/phase5r_c6_email_metadata.csv;08_reviews/current/latest_phase5r_c6_weekly_email_preview.md;04_research/realtime_stock_picker_phase5r/phase5r_c6_weekly_email_report.md,,,no,no,no,weekly_compose_only=yes; primary_scenario=no_action_until_next_review; credentials_read=no
2026-07-09T16:32:53-05:00,phase5r_c6,create_phase5r_c6_weekly_email_brief.py,compose_weekly_conviction_email,compose,complete,Weekly AI Equity Conviction Brief — 2026-07-09 — No Action / 2 Trim Reviews / 0 New Eligible,,,no,0,04_research/realtime_stock_picker_phase5r/phase5r_c5_weekly_conviction_memo.md;04_research/realtime_stock_picker_phase5r/phase5r_c5_weekly_conviction_scores.csv;04_research/realtime_stock_picker_phase5r/phase5r_c5_position_review_recommendations.csv;04_research/realtime_stock_picker_phase5r/phase5r_c5_new_candidate_recommendations.csv;05_risk_and_positions/phase5r_c5t_manual_action_plan.md;05_risk_and_positions/phase5r_c5t_trim_scenario_table.csv;05_risk_and_positions/phase5r_c5t_next_review_triggers.csv;05_risk_and_positions/current_positions.local.csv,07_automation/email_briefs/phase5r_c6_weekly_email_subject.txt;07_automation/email_briefs/phase5r_c6_weekly_email_body.txt;07_automation/email_briefs/phase5r_c6_weekly_email_body.html;07_automation/email_briefs/phase5r_c6_email_metadata.csv;08_reviews/current/latest_phase5r_c6_weekly_email_preview.md;04_research/realtime_stock_picker_phase5r/phase5r_c6_weekly_email_report.md,,,no,no,no,weekly_compose_only=yes; primary_scenario=no_action_until_next_review; credentials_read=no
2026-07-09T16:32:53-05:00,phase5r_c6,send_phase5r_c6_weekly_email.py,weekly_email_delivery,dry_run,complete,Weekly AI Equity Conviction Brief — 2026-07-09 — No Action / 2 Trim Reviews / 0 New Eligible,steven.equity0326@gmail.com,stevenchenjy326@gmail.com,no,0,07_automation/email_briefs/phase5r_c6_weekly_email_subject.txt;07_automation/email_briefs/phase5r_c6_weekly_email_body.txt;07_automation/email_briefs/phase5r_c6_weekly_email_body.html;07_automation/email_briefs/phase5r_c6_email_metadata.csv,07_automation/email_delivery/phase5r_c6_delivery_status.csv;07_automation/email_delivery/phase5r_c6_last_email_preview.eml,,,no,no,no,weekly_manual_command=yes; at_most_one_message=yes; attachments=none; password_logged=no
2026-07-09T16:35:50-05:00,phase5r_c6,create_phase5r_c6_weekly_email_brief.py,compose_weekly_conviction_email,compose,complete,Weekly AI Equity Conviction Brief — 2026-07-09 — No Action / 2 Trim Reviews / 0 New Eligible,,,no,0,04_research/realtime_stock_picker_phase5r/phase5r_c5_weekly_conviction_memo.md;04_research/realtime_stock_picker_phase5r/phase5r_c5_weekly_conviction_scores.csv;04_research/realtime_stock_picker_phase5r/phase5r_c5_position_review_recommendations.csv;04_research/realtime_stock_picker_phase5r/phase5r_c5_new_candidate_recommendations.csv;05_risk_and_positions/phase5r_c5t_manual_action_plan.md;05_risk_and_positions/phase5r_c5t_trim_scenario_table.csv;05_risk_and_positions/phase5r_c5t_next_review_triggers.csv;05_risk_and_positions/current_positions.local.csv,07_automation/email_briefs/phase5r_c6_weekly_email_subject.txt;07_automation/email_briefs/phase5r_c6_weekly_email_body.txt;07_automation/email_briefs/phase5r_c6_weekly_email_body.html;07_automation/email_briefs/phase5r_c6_email_metadata.csv;08_reviews/current/latest_phase5r_c6_weekly_email_preview.md;04_research/realtime_stock_picker_phase5r/phase5r_c6_weekly_email_report.md,,,no,no,no,weekly_compose_only=yes; primary_scenario=no_action_until_next_review; credentials_read=no
