timestamp,script_name,action,input_path,output_path,status,positions_file_present,position_count,validation_error_count,safety_notes
2026-07-09T15:26:55-05:00,create_phase5r_c4_position_template.py,create_phase5r_c4_position_templates,none,05_risk_and_positions/current_positions.local.csv.template;05_risk_and_positions/current_positions.local.csv.example;05_risk_and_positions/phase5r_c4_position_schema.csv;05_risk_and_positions/phase5r_c4_portfolio_state_report.csv;05_risk_and_positions/phase5r_c4_blank_position_review.md,complete,no,0,0,template_only=yes; local_positions_created=no; broker_used=no; orders_created=no; email_sent=no; scheduler_used=no; archived_legacy_used=no
2026-07-09T15:26:58-05:00,validate_phase5r_c4_position_state.py,validate_phase5r_c4_position_state,05_risk_and_positions/current_positions.local.csv,05_risk_and_positions/phase5r_c4_portfolio_state_report.csv,no_positions_file_yet,no,0,0,local_file_only=yes; broker_used=no; orders_created=no; email_sent=no; scheduler_used=no; archived_legacy_used=no
2026-07-09T15:27:02-05:00,verify_phase5r_c4_portfolio_boundary.py,verify_phase5r_c4_portfolio_boundary,05_risk_and_positions/current_positions.local.csv (optional),00_project_control/phase5r_c4_verification_report.md;04_research/realtime_stock_picker_phase5r/phase5r_c4_portfolio_framework_report.md;04_research/realtime_stock_picker_phase5r/phase5r_c4_verification_report.md,complete,no,0,0,weekly_reframe=yes; d1_parked=yes; broker_used=no; orders_created=no; email_sent=no; config_modified=no; archived_legacy_used=no
2026-07-09T15:31:16-05:00,validate_phase5r_c4_position_state.py,validate_phase5r_c4_position_state,05_risk_and_positions/current_positions.local.csv,05_risk_and_positions/phase5r_c4_portfolio_state_report.csv,validation_failed,yes,2,2,local_file_only=yes; broker_used=no; orders_created=no; email_sent=no; scheduler_used=no; archived_legacy_used=no
2026-07-09T15:32:45-05:00,validate_phase5r_c4_position_state.py,validate_phase5r_c4_position_state,05_risk_and_positions/current_positions.local.csv,05_risk_and_positions/phase5r_c4_portfolio_state_report.csv,valid_position_state,yes,2,0,local_file_only=yes; broker_used=no; orders_created=no; email_sent=no; scheduler_used=no; archived_legacy_used=no
2026-07-09T15:35:10-05:00,validate_phase5r_c4_position_state.py,validate_phase5r_c4_position_state,05_risk_and_positions/current_positions.local.csv,05_risk_and_positions/phase5r_c4_portfolio_state_report.csv,valid_position_state,yes,2,0,local_file_only=yes; broker_used=no; orders_created=no; email_sent=no; scheduler_used=no; archived_legacy_used=no
2026-07-09T16:31:22-05:00,validate_phase5r_c4_position_state.py,validate_phase5r_c4_position_state,05_risk_and_positions/current_positions.local.csv,05_risk_and_positions/phase5r_c4_portfolio_state_report.csv,valid_position_state,yes,2,0,local_file_only=yes; broker_used=no; orders_created=no; email_sent=no; scheduler_used=no; archived_legacy_used=no
2026-07-09T16:32:23-05:00,validate_phase5r_c4_position_state.py,validate_phase5r_c4_position_state,05_risk_and_positions/current_positions.local.csv,05_risk_and_positions/phase5r_c4_portfolio_state_report.csv,valid_position_state,yes,2,0,local_file_only=yes; broker_used=no; orders_created=no; email_sent=no; scheduler_used=no; archived_legacy_used=no
2026-07-09T16:32:40-05:00,validate_phase5r_c4_position_state.py,validate_phase5r_c4_position_state,05_risk_and_positions/current_positions.local.csv,05_risk_and_positions/phase5r_c4_portfolio_state_report.csv,valid_position_state,yes,2,0,local_file_only=yes; broker_used=no; orders_created=no; email_sent=no; scheduler_used=no; archived_legacy_used=no
2026-07-09T16:35:37-05:00,validate_phase5r_c4_position_state.py,validate_phase5r_c4_position_state,05_risk_and_positions/current_positions.local.csv,05_risk_and_positions/phase5r_c4_portfolio_state_report.csv,valid_position_state,yes,2,0,local_file_only=yes; broker_used=no; orders_created=no; email_sent=no; scheduler_used=no; archived_legacy_used=no
2026-07-17T15:31:57-04:00,validate_phase5r_c4_position_state.py,validate_phase5r_c4_position_state,05_risk_and_positions/current_positions.local.csv,05_risk_and_positions/phase5r_c4_portfolio_state_report.csv,valid_position_state,yes,2,0,local_file_only=yes; broker_used=no; orders_created=no; email_sent=no; scheduler_used=no; archived_legacy_used=no
2026-07-17T15:59:40-04:00,validate_phase5r_c4_position_state.py,validate_phase5r_c4_position_state,05_risk_and_positions/current_positions.local.csv,05_risk_and_positions/phase5r_c4_portfolio_state_report.csv,valid_position_state,yes,2,0,local_file_only=yes; broker_used=no; orders_created=no; email_sent=no; scheduler_used=no; archived_legacy_used=no
2026-07-18T17:58:40-04:00,validate_phase5r_c4_position_state.py,validate_phase5r_c4_position_state,05_risk_and_positions/current_positions.local.csv,05_risk_and_positions/phase5r_c4_portfolio_state_report.csv,valid_position_state,yes,2,0,local_file_only=yes; broker_used=no; orders_created=no; email_sent=no; scheduler_used=no; archived_legacy_used=no
2026-07-18T18:11:38-04:00,validate_phase5r_c4_position_state.py,validate_phase5r_c4_position_state,05_risk_and_positions/current_positions.local.csv,05_risk_and_positions/phase5r_c4_portfolio_state_report.csv,valid_position_state,yes,2,0,local_file_only=yes; broker_used=no; orders_created=no; email_sent=no; scheduler_used=no; archived_legacy_used=no
