destination_path,source_path,source_category,checksum,bytes,status,notes
00_project_control/project_docs/.gitignore,.gitignore,project_control,a34884df8277c855d7a2be942edd38b91b168301f2313fb237884a1a3db3b00e,148,copied_checksum_match,Copied because Phase 0C allowlist approved it for policy/project/source control use.
00_project_control/audit_reports/phase0a/phase0a_broken_path_report.csv,00_project_control/phase0a_broken_path_report.csv,phase0_project_control_report,15943b3b3b4575552eec4fe9a25d28cba510b3d128cd48474b4562dcf3a48f00,5279,copied_checksum_match,Project-control audit report copied into audit_reports for canonical organization.
00_project_control/audit_reports/phase0a/phase0a_cleanup_plan.md,00_project_control/phase0a_cleanup_plan.md,phase0_project_control_report,ae74ccb2948e54abe209f9715732d398a70fd285daef7ea3a9cb204d6ee7623a,9957,copied_checksum_match,Project-control audit report copied into audit_reports for canonical organization.
00_project_control/audit_reports/phase0a/phase0a_duplicate_file_report.csv,00_project_control/phase0a_duplicate_file_report.csv,phase0_project_control_report,d3eb3161931fd9734a244bff62a523c8712d64d99612af1dc936dc62bbe36f94,3657,copied_checksum_match,Project-control audit report copied into audit_reports for canonical organization.
00_project_control/audit_reports/phase0a/phase0a_file_classification.csv,00_project_control/phase0a_file_classification.csv,phase0_project_control_report,5ff1eb571f7f71660a8727cafccb91364687ba2fe9f13ef5598cd4cb0c582afa,86779,copied_checksum_match,Project-control audit report copied into audit_reports for canonical organization.
00_project_control/audit_reports/phase0a/phase0a_full_file_inventory.csv,00_project_control/phase0a_full_file_inventory.csv,phase0_project_control_report,32f831204d58d5e884e4eb9199367b66bbe07aafb7642acccd96172db6ed5cbc,142388,copied_checksum_match,Project-control audit report copied into audit_reports for canonical organization.
00_project_control/audit_reports/phase0a/phase0a_new_canonical_structure.md,00_project_control/phase0a_new_canonical_structure.md,phase0_project_control_report,a8c80f4ee11697e12e6ed30c0e23ab0931948ae25d0e9ad76c9699db18fe4785,2890,copied_checksum_match,Project-control audit report copied into audit_reports for canonical organization.
00_project_control/audit_reports/phase0a/phase0a_phase_dependency_map.csv,00_project_control/phase0a_phase_dependency_map.csv,phase0_project_control_report,2924a80a2c13476b6d4a4701f785993933771b5e88afcb42652b8cd2b26e0062,118355,copied_checksum_match,Project-control audit report copied into audit_reports for canonical organization.
00_project_control/audit_reports/phase0a/phase0a_real_position_file_map.csv,00_project_control/phase0a_real_position_file_map.csv,phase0_project_control_report,be999374257184c638dac55d2af368e57b1d1d311cd49c89faf85f9cda0aa560,35265,copied_checksum_match,Project-control audit report copied into audit_reports for canonical organization.
00_project_control/audit_reports/phase0a/phase0a_verification_report.md,00_project_control/phase0a_verification_report.md,phase0_project_control_report,29a6170d4bea3f1e5e8a6d9fb11041ed1d51510ddda742c878a1a8399ab6b38f,2416,copied_checksum_match,Project-control audit report copied into audit_reports for canonical organization.
00_project_control/audit_reports/phase0b/phase0b_active_entrypoint_register.csv,00_project_control/phase0b_active_entrypoint_register.csv,phase0_project_control_report,cbc7f8c1508aeb7f81cd0f6622aa2a982fc1fb6b13ef1b9f1d29d62619e94cd6,4431,copied_checksum_match,Project-control audit report copied into audit_reports for canonical organization.
00_project_control/audit_reports/phase0b/phase0b_broken_path_resolution_plan.csv,00_project_control/phase0b_broken_path_resolution_plan.csv,phase0_project_control_report,077e7999c722e008de34744ff16d1828cc01c5df6a12e79238ecabc500350629,9051,copied_checksum_match,Project-control audit report copied into audit_reports for canonical organization.
00_project_control/audit_reports/phase0b/phase0b_duplicate_resolution_plan.csv,00_project_control/phase0b_duplicate_resolution_plan.csv,phase0_project_control_report,e4eec23b9306e8f58553029b22a8006ff31317c584fec217e7a3d4a92f5899b0,1845,copied_checksum_match,Project-control audit report copied into audit_reports for canonical organization.
00_project_control/audit_reports/phase0b/phase0b_human_review_queue.csv,00_project_control/phase0b_human_review_queue.csv,phase0_project_control_report,35a443b6b6f7cb745ab6f4e9d5332a1307ac02ad32e58058e4d94288c1c3977e,77703,copied_checksum_match,Project-control audit report copied into audit_reports for canonical organization.
00_project_control/audit_reports/phase0b/phase0b_migration_map.csv,00_project_control/phase0b_migration_map.csv,phase0_project_control_report,cdade20dcd58f6aec44c4e0daaf8979b1fdb0b09d49d692529dc06d36ae4091e,110859,copied_checksum_match,Project-control audit report copied into audit_reports for canonical organization.
00_project_control/audit_reports/phase0b/phase0b_migration_plan.md,00_project_control/phase0b_migration_plan.md,phase0_project_control_report,6450d057131ddf1a2c385373e99e6a6b74e7a2cbe36a978e0de8833c4d3b0f1a,3224,copied_checksum_match,Project-control audit report copied into audit_reports for canonical organization.
00_project_control/audit_reports/phase0b/phase0b_phase_register.csv,00_project_control/phase0b_phase_register.csv,phase0_project_control_report,8e5f4d40e1e9f7cb6fdcfec1fe2857cc5db6d8841c594ad65cc56b66b754dee6,6236,copied_checksum_match,Project-control audit report copied into audit_reports for canonical organization.
00_project_control/audit_reports/phase0b/phase0b_verification_report.md,00_project_control/phase0b_verification_report.md,phase0_project_control_report,626471746859aaf22c91c9ddef5b4dc7f46ee0d0ff040edda21955dc88640521,2964,copied_checksum_match,Project-control audit report copied into audit_reports for canonical organization.
00_project_control/audit_reports/phase0c/phase0c_blocker_reduction_report.csv,00_project_control/phase0c_blocker_reduction_report.csv,phase0_project_control_report,24a5b63a33ae5108828115dddd7f87074e99cbba10f5cde9b95072b18a571998,38814,copied_checksum_match,Project-control audit report copied into audit_reports for canonical organization.
00_project_control/audit_reports/phase0c/phase0c_entrypoint_decision_register.csv,00_project_control/phase0c_entrypoint_decision_register.csv,phase0_project_control_report,9c46a46da16aa5dd50dc6b1ae277e9ccbacf943aa956b86446e6f5f87bf567e6,5994,copied_checksum_match,Project-control audit report copied into audit_reports for canonical organization.
